DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD
CAYUGA ISD,3,574,84,62,33,81,67,39,85,88,65,34,85,54,22,78,47,21,60,17,3,74,53,24,87,66,35,,,,33,33,17,,,,83,54,34,76,50,23
ELKHART ISD,4,1150,85,59,30,85,64,34,86,84,49,23,86,63,29,90,63,42,46,22,8,85,56,25,88,61,32,100,100,100,-1,-1,-1,,,,77,46,23,77,42,19
FRANKSTON ISD,3,808,83,57,25,84,63,24,81,85,57,26,81,49,21,74,48,26,74,38,6,75,46,19,85,62,28,80,20,20,84,53,16,,,,75,58,28,77,49,17
NECHES ISD,2,342,90,64,27,87,67,30,90,94,69,27,90,54,23,83,51,26,88,48,19,91,69,26,89,66,29,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,86,53,17
PALESTINE ISD,6,3360,74,46,20,72,48,20,78,75,44,20,78,48,22,72,42,20,64,33,11,73,44,19,83,60,29,75,50,17,85,77,44,-1,-1,-1,74,44,18,70,40,16
WESTWOOD ISD,4,1332,69,40,16,70,45,19,73,66,34,14,73,41,15,68,38,15,56,26,11,69,36,12,75,48,21,,,,100,100,88,-1,-1,-1,62,38,13,65,34,14
SLOCUM ISD,2,361,86,55,25,86,66,31,96,81,42,19,96,45,16,92,73,38,-1,-1,-1,87,57,20,86,55,26,,,,,,,,,,88,50,6,81,45,17
ANDREWS ISD,6,4131,76,47,21,75,50,22,75,76,44,21,75,46,18,81,50,27,71,41,13,72,42,17,84,58,29,83,28,6,100,87,67,,,,85,58,31,67,36,14
PINEYWOODS COMMUNITY ACADEMY,4,995,82,56,30,82,60,31,83,81,53,29,83,57,27,82,51,32,68,38,14,81,50,24,88,67,40,-1,-1,-1,93,73,53,-1,-1,-1,74,48,13,77,48,23
HUDSON ISD,5,2799,86,60,31,84,62,31,84,88,62,33,84,52,21,87,60,36,71,37,14,81,53,24,89,66,35,62,8,0,97,82,56,-1,-1,-1,83,50,29,78,46,19
LUFKIN ISD,17,7318,69,43,20,69,46,20,74,66,37,18,74,47,18,70,48,31,58,31,12,69,41,17,82,63,36,88,63,50,92,81,57,-1,-1,-1,75,43,23,66,39,16
HUNTINGTON ISD,5,1612,77,47,21,76,50,21,80,77,43,20,80,49,21,79,46,24,75,36,14,79,47,21,77,48,21,80,40,0,67,17,0,-1,-1,-1,79,44,19,72,40,17
DIBOLL ISD,6,1744,76,45,17,76,48,18,79,80,44,17,79,45,15,59,35,18,69,38,12,73,40,15,82,54,22,,,,100,100,75,,,,82,54,10,72,39,13
ZAVALLA ISD,2,300,70,40,19,77,57,28,57,68,26,12,57,29,7,75,39,28,-1,-1,-1,55,30,15,72,40,19,,,,,,,,,,57,48,33,65,34,15
CENTRAL ISD,4,1451,75,47,22,75,52,23,79,74,41,18,79,52,21,71,44,27,63,40,14,71,44,18,77,49,23,,,,,,,,,,70,47,27,67,38,14
ARANSAS COUNTY ISD,4,3005,65,38,17,67,43,19,66,62,32,15,66,36,11,66,42,23,42,22,13,57,30,11,71,44,21,63,50,25,85,65,43,100,71,29,73,39,20,57,30,12
ARCHER CITY ISD,2,506,89,70,37,90,74,37,92,91,67,41,92,71,33,74,58,33,100,100,20,78,57,17,91,71,41,80,60,40,,,,,,,100,87,47,82,62,25
HOLLIDAY ISD,3,1126,86,63,32,85,66,35,86,86,61,32,86,57,20,87,64,37,-1,-1,-1,84,62,25,86,63,33,89,67,33,,,,,,,84,61,37,71,43,21
WINDTHORST ISD,3,530,91,70,36,89,68,37,94,93,73,36,94,75,38,88,59,33,-1,-1,-1,78,52,19,96,77,42,-1,-1,-1,100,100,100,,,,83,67,67,75,48,17
CLAUDE ISD,1,307,88,59,35,91,62,32,90,90,64,42,90,52,30,59,28,21,,,,89,47,23,88,62,39,100,67,0,,,,,,,96,48,17,90,52,26
CHARLOTTE ISD,3,397,69,39,13,71,43,11,70,68,38,15,70,35,9,66,36,20,,,,66,37,11,86,56,28,,,,,,,,,,-1,-1,-1,63,32,9
JOURDANTON ISD,7,1569,80,55,28,82,62,30,79,80,50,27,79,50,22,74,50,35,88,25,0,77,49,22,85,64,38,,,,-1,-1,-1,,,,95,81,38,75,45,20
LYTLE ISD,5,1740,65,31,11,68,38,14,64,60,22,9,64,26,7,68,36,14,26,13,4,62,28,9,81,43,21,,,,-1,-1,-1,-1,-1,-1,100,71,24,60,26,8
PLEASANTON ISD,6,3374,74,46,20,73,49,21,78,71,39,16,78,53,20,79,51,26,85,48,15,71,42,17,80,56,26,100,42,16,96,83,48,-1,-1,-1,71,60,34,68,38,14
POTEET ISD,4,1676,60,31,11,65,40,15,63,52,21,7,63,29,10,59,31,10,17,0,0,59,29,10,74,45,22,-1,-1,-1,-1,-1,-1,,,,50,33,17,57,27,8
BELLVILLE ISD,5,2191,73,43,18,76,50,21,72,68,35,14,72,41,17,79,49,28,38,10,2,65,31,11,82,55,25,78,44,44,100,100,67,,,,60,30,11,58,27,10
SEALY ISD,4,2814,75,45,18,73,48,20,79,74,40,16,79,43,13,74,50,30,57,27,7,70,38,13,84,59,27,60,60,40,86,52,10,,,,81,50,27,66,34,10
BRAZOS ISD,3,766,82,54,23,79,55,21,86,82,52,24,86,53,19,86,56,30,70,34,12,80,49,20,86,64,29,,,,-1,-1,-1,,,,93,60,28,76,46,16
MULESHOE ISD,4,1347,68,40,17,70,43,17,76,62,34,16,76,45,19,67,44,23,75,50,25,65,37,15,84,61,34,,,,100,100,54,,,,-1,-1,-1,65,36,14
MEDINA ISD,1,265,77,48,19,79,53,24,80,72,39,11,80,47,16,76,57,24,-1,-1,-1,67,34,11,83,55,23,,,,-1,-1,-1,,,,-1,-1,-1,70,40,16
BANDERA ISD,4,2301,67,38,15,70,45,19,73,61,28,11,73,36,12,71,42,20,100,56,22,60,30,11,71,41,18,-1,-1,-1,75,63,38,-1,-1,-1,69,37,12,58,27,10
BASTROP ISD,14,11947,60,33,13,60,37,14,63,59,29,10,63,32,11,62,35,17,51,24,6,56,28,10,76,51,24,58,42,5,93,74,35,65,18,6,71,41,20,55,28,9
ELGIN ISD,8,4985,58,29,10,59,35,12,58,55,20,7,58,27,7,60,33,14,51,23,6,55,26,8,77,49,22,83,33,17,94,56,31,62,38,31,65,33,13,53,24,7
SMITHVILLE ISD,4,1780,73,43,19,74,51,21,74,71,37,15,74,37,16,72,46,25,53,29,9,65,34,14,81,52,23,-1,-1,-1,89,78,44,-1,-1,-1,62,33,10,62,33,11
MCDADE ISD,2,319,66,37,16,71,41,20,75,60,30,11,75,41,11,52,35,23,50,50,17,57,28,8,79,49,28,,,,,,,,,,100,57,29,58,28,9
SEYMOUR ISD,3,618,87,63,33,88,65,29,89,92,66,37,89,60,31,67,51,37,90,30,10,84,62,29,90,67,35,,,,,,,,,,75,43,28,83,54,27
ST MARY'S ACADEMY CHARTER SCHOOL,1,401,76,42,19,80,52,29,85,69,26,7,85,67,23,,,,100,40,40,74,38,16,72,52,27,,,,100,69,23,100,80,20,,,,75,39,15
BEEVILLE ISD,5,2996,70,38,15,74,47,19,73,65,27,9,73,38,13,70,40,18,62,33,10,69,35,13,80,56,24,70,30,10,100,69,38,-1,-1,-1,87,62,28,68,35,12
PAWNEE ISD,1,498,69,46,22,78,57,30,57,64,38,14,57,35,17,67,56,33,,,,66,40,19,76,60,30,,,,,,,,,,-1,-1,-1,62,36,16
PETTUS ISD,2,377,75,42,17,77,48,22,76,75,43,16,76,33,12,70,37,15,14,0,0,73,38,14,83,56,27,,,,-1,-1,-1,,,,86,29,0,72,39,16
SKIDMORE-TYNAN ISD,3,785,84,53,22,86,59,26,86,78,47,15,86,52,17,87,55,33,100,70,60,80,49,18,92,63,29,-1,-1,-1,100,86,43,-1,-1,-1,100,50,17,79,48,19
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,9,1590,41,12,2,31,12,1,47,29,3,1,47,8,1,67,25,5,30,8,2,42,11,1,44,20,3,60,40,0,-1,-1,-1,89,33,33,59,21,0,40,12,2
PRIORITY CHARTER SCHOOLS,4,836,65,40,17,75,52,23,54,58,28,10,54,32,14,67,36,19,64,38,16,62,37,16,69,44,18,-1,-1,-1,90,50,30,38,15,15,60,36,16,60,33,14
ORENDA CHARTER SCHOOL,5,1900,92,69,36,94,78,43,92,88,56,26,92,70,38,93,74,46,89,66,24,90,64,31,92,69,38,100,83,17,96,84,58,92,42,17,95,77,38,81,52,26
ACADEMY ISD,4,1749,80,52,24,81,59,29,88,78,44,19,88,59,22,74,43,24,72,36,15,76,45,18,84,58,27,88,88,25,94,71,41,75,25,17,68,39,23,74,40,16
BARTLETT ISD,1,394,60,26,6,66,35,10,62,51,16,3,62,21,3,64,30,5,57,25,6,58,21,4,65,36,11,,,,-1,-1,-1,,,,68,37,0,58,23,5
BELTON ISD,17,13298,75,49,22,77,55,25,77,71,39,17,77,50,21,77,53,31,61,34,14,68,39,15,81,56,27,77,40,18,91,74,51,74,43,17,79,54,25,63,34,13
HOLLAND ISD,3,656,88,63,31,85,62,28,91,90,62,29,91,70,36,88,64,49,60,30,10,85,62,21,90,66,36,,,,,,,,,,79,38,17,80,50,22
KILLEEN ISD,53,43839,70,40,17,72,47,19,70,66,33,13,70,38,14,72,45,25,62,32,11,70,41,16,78,51,25,66,37,13,87,66,39,71,41,16,76,46,20,64,34,13
ROGERS ISD,4,893,81,51,24,80,55,25,90,76,38,16,90,66,34,88,60,31,50,25,8,72,40,13,85,57,30,40,0,0,67,33,17,,,,96,54,33,72,40,14
SALADO ISD,4,2233,80,53,25,81,58,28,83,78,46,22,83,53,23,82,54,29,76,41,15,68,38,15,85,58,29,50,0,0,89,63,26,82,45,18,83,50,24,64,35,15
TEMPLE ISD,17,8395,66,38,17,65,39,18,70,66,34,15,70,38,16,69,44,25,58,28,12,66,36,15,77,50,27,82,46,18,88,63,44,89,72,39,69,41,22,63,34,15
TROY ISD,4,1636,82,54,24,80,53,23,88,81,52,23,88,62,29,82,53,27,69,42,15,78,47,20,84,57,27,88,88,13,100,100,86,85,69,31,72,47,19,72,42,18
POR VIDA ACADEMY,2,124,61,29,8,51,29,4,74,65,18,9,74,26,6,68,42,18,20,20,0,61,28,8,78,44,33,,,,,,,,,,-1,-1,-1,61,27,6
GEORGE GERVIN ACADEMY,2,776,45,20,8,50,28,13,44,43,17,5,44,11,2,35,6,4,38,14,4,54,27,13,82,55,18,50,33,33,-1,-1,-1,,,,50,33,17,48,22,9
NEW FRONTIERS PUBLIC SCHOOLS INC,1,149,90,63,16,89,79,12,89,83,38,19,89,49,3,98,66,30,-1,-1,-1,89,60,14,100,100,50,,,,,,,,,,,,,90,62,15
LEGACY TRADITIONAL SCHOOLS - TEXAS,4,353,48,19,6,54,30,8,41,43,10,3,41,12,4,47,26,12,46,18,6,48,20,6,42,11,0,,,,-1,-1,-1,,,,,,,47,20,5
SOUTHWEST PREPARATORY SCHOOL,6,794,54,25,10,59,34,14,55,46,16,6,55,23,5,58,28,14,48,19,6,52,23,8,67,43,21,,,,-1,-1,-1,,,,70,52,43,50,22,9
INSPIRE ACADEMIES,6,636,64,34,16,75,49,22,49,54,18,7,49,28,11,66,35,22,55,27,18,62,31,14,69,40,19,,,,-1,-1,-1,-1,-1,-1,64,45,27,58,32,15
BEXAR COUNTY ACADEMY,1,261,38,15,6,47,20,9,26,34,13,4,26,7,4,23,0,0,-1,-1,-1,38,14,5,50,25,13,,,,,,,,,,,,,38,15,6
POSITIVE SOLUTIONS CHARTER SCHOOL,1,93,53,20,2,46,22,0,58,44,19,4,58,13,0,73,23,8,-1,-1,-1,53,19,2,63,38,0,,,,,,,,,,,,,55,21,2
HERITAGE ACADEMY,5,572,72,43,20,73,47,22,76,73,37,16,76,41,19,65,45,28,78,44,25,71,41,18,81,58,30,-1,-1,-1,-1,-1,-1,,,,62,46,38,71,39,18
JUBILEE ACADEMIES,13,5764,56,28,11,62,35,15,56,51,22,9,56,23,6,56,25,11,51,25,11,56,27,11,64,32,15,57,27,13,73,67,44,,,,57,33,19,54,25,10
LIGHTHOUSE PUBLIC SCHOOLS,3,408,44,19,8,50,28,11,52,38,11,5,52,21,8,13,0,0,71,29,13,43,18,7,24,18,12,,,,-1,-1,-1,,,,-1,-1,-1,43,18,7
SCHOOL OF SCIENCE AND TECHNOLOGY,7,3972,75,47,24,80,55,30,72,72,40,18,72,44,18,72,43,32,70,42,20,73,44,20,86,59,34,78,56,33,89,76,43,100,100,83,83,62,36,70,40,18
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,8,4459,70,40,17,69,45,19,70,69,35,15,70,36,10,76,46,25,67,42,19,70,40,16,75,50,28,38,25,13,90,66,50,,,,62,40,16,68,38,17
BROOKS ACADEMIES OF TEXAS,4,3141,64,34,13,73,48,21,66,54,20,7,66,30,5,61,32,15,65,32,11,63,32,12,76,47,23,85,46,31,83,63,34,100,67,33,71,27,13,60,29,11
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,6,5288,78,49,26,84,60,34,75,75,43,20,75,43,20,68,35,22,82,57,32,73,42,20,86,58,31,83,50,25,88,70,49,,,,86,55,28,75,45,22
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,1,93,77,49,5,77,63,9,94,57,13,0,94,47,0,95,80,10,50,25,0,79,53,5,75,33,0,,,,-1,-1,-1,,,,100,60,20,66,34,4
BASIS TEXAS,7,3421,95,82,57,97,88,65,91,95,79,52,91,70,45,93,72,58,95,78,43,92,73,42,95,80,55,89,89,56,98,88,68,-1,-1,-1,91,79,53,90,68,32
GREAT HEARTS TEXAS,11,8136,85,57,30,90,68,39,79,83,50,24,79,43,18,84,56,34,70,40,17,80,47,21,90,66,37,94,78,50,93,70,43,,,,84,51,27,76,42,18
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,1,489,93,76,49,96,84,62,95,89,69,36,95,72,51,98,74,55,100,100,70,90,68,41,97,82,57,-1,-1,-1,89,82,53,,,,100,91,65,85,56,27
COMPASS ROSE PUBLIC SCHOOLS,5,1836,52,25,9,61,37,15,53,44,15,4,53,23,6,40,21,7,43,23,9,52,25,9,66,38,14,25,0,0,73,53,33,67,33,0,36,29,7,51,24,9
PROMESA ACADEMY CHARTER SCHOOL,1,262,49,26,16,65,42,30,,33,9,2,,,,,,,-1,-1,-1,47,22,13,50,38,25,-1,-1,-1,-1,-1,-1,,,,,,,45,21,12
SAN ANTONIO PREPARATORY SCHOOLS,1,205,55,24,8,68,37,19,62,42,11,0,62,26,0,40,12,8,53,21,7,56,23,10,78,67,11,,,,,,,-1,-1,-1,,,,59,26,8
THE GATHERING PLACE,1,465,35,13,9,51,23,15,,18,4,3,,,,,,,25,0,0,37,15,9,38,13,6,-1,-1,-1,,,,,,,29,14,14,36,13,9
ROYAL PUBLIC SCHOOLS,1,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRELUDE PREPARATORY CHARTER SCHOOL,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
