DISTRICT NAME,TOTAL STUDENTS,DISTRICT ACCOUNTABILITY RATINGS,4-YR LONGITUDINAL GRADUATION RATE DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,COLLEGE ADMISSIONS: % TESTED,COLLEGE ADMISSIONS: % AT/ABOVE CRITERION,ATTENDANCE RATE 
CAYUGA ISD,574,A,100,81,67,39,88,65,34,58.3,19,96.7
ELKHART ISD,1150,A,100,85,64,34,84,49,23,51.6,27.7,96
FRANKSTON ISD,808,A,95.2,84,63,24,85,57,26,92.7,36.8,95.4
NECHES ISD,342,A,95.8,87,67,30,94,69,27,87,15,95.8
PALESTINE ISD,3360,B,99,72,48,20,75,44,20,43.3,49.4,93.7
WESTWOOD ISD,1332,B,97.8,70,45,19,66,34,14,40,28.9,94.5
SLOCUM ISD,361,B,100,86,66,31,81,42,19,12.5,-1,96.7
ANDREWS ISD,4131,B,96.8,75,50,22,76,44,21,42,35.8,92.8
PINEYWOODS COMMUNITY ACADEMY,995,A,100,82,60,31,81,53,29,9.6,60,97.3
HUDSON ISD,2799,A,94.1,84,62,31,88,62,33,38.3,60,95.2
LUFKIN ISD,7318,B,92,69,46,20,66,37,18,86.7,22.6,93
HUNTINGTON ISD,1612,B,95.4,76,50,21,77,43,20,41.3,39.5,95.7
DIBOLL ISD,1744,A,98.2,76,48,18,80,44,17,56,27.9,97
ZAVALLA ISD,300,B,92.6,77,57,28,68,26,12,33.3,37.5,93.5
CENTRAL ISD,1451,A,97.8,75,52,23,74,41,18,68.2,26.7,94.3
ARANSAS COUNTY ISD,3005,B,91.3,67,43,19,62,32,15,53.7,24.2,92.5
ARCHER CITY ISD,506,A,81.8,90,74,37,91,67,41,78.6,22.7,99.6
HOLLIDAY ISD,1126,A,98.7,85,66,35,86,61,32,80.6,48.3,97.4
WINDTHORST ISD,530,A,100,89,68,37,93,73,36,82.8,41.7,97.5
CLAUDE ISD,307,A,100,91,62,32,90,64,42,50,8.3,94.9
