DISTRICT ACCOUNTABILITY RATINGS,TOTAL STUDENTS_y,ATTENDANCE RATE (2020-21),4-YR LONGITUDINAL GRADUATION RATE (CLASS OF 2021) DISTRICT EXCL,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD_y,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE_y,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD_y,COLLEGE ADMISSIONS: % TESTED (2020-2021),COLLEGE ADMISSIONS: % AT/ABOVE CRITERION (2020-2021),Change in STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,Change in STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,Change in STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE
A,574,96.7,100.0,81.0,67.0,39.0,88.0,65.0,34.0,58.3,19.0,0.0,0.0,0.0
A,1150,96.0,100.0,85.0,64.0,34.0,84.0,49.0,23.0,51.6,27.7,0.0,0.0,0.0
A,808,95.4,95.2,84.0,63.0,24.0,85.0,57.0,26.0,92.7,36.8,0.0,0.0,0.0
A,342,95.8,95.8,87.0,67.0,30.0,94.0,69.0,27.0,87.0,15.0,0.0,0.0,0.0
B,3360,93.7,99.0,72.0,48.0,20.0,75.0,44.0,20.0,43.3,49.4,0.0,0.0,0.0
B,1332,94.5,97.8,70.0,45.0,19.0,66.0,34.0,14.0,40.0,28.9,0.0,0.0,0.0
B,361,96.7,100.0,86.0,66.0,31.0,81.0,42.0,19.0,12.5,-1.0,0.0,0.0,0.0
B,4131,92.8,96.8,75.0,50.0,22.0,76.0,44.0,21.0,42.0,35.8,0.0,0.0,0.0
A,995,97.3,100.0,82.0,60.0,31.0,81.0,53.0,29.0,9.6,60.0,0.0,0.0,0.0
A,2799,95.2,94.1,84.0,62.0,31.0,88.0,62.0,33.0,38.3,60.0,0.0,0.0,0.0
B,7318,93.0,92.0,69.0,46.0,20.0,66.0,37.0,18.0,86.7,22.6,0.0,0.0,0.0
B,1612,95.7,95.4,76.0,50.0,21.0,77.0,43.0,20.0,41.3,39.5,0.0,0.0,0.0
A,1744,97.0,98.2,76.0,48.0,18.0,80.0,44.0,17.0,56.0,27.9,0.0,0.0,0.0
B,300,93.5,92.6,77.0,57.0,28.0,68.0,26.0,12.0,33.3,37.5,0.0,0.0,0.0
A,1451,94.3,97.8,75.0,52.0,23.0,74.0,41.0,18.0,68.2,26.7,0.0,0.0,0.0
B,3005,92.5,91.3,67.0,43.0,19.0,62.0,32.0,15.0,53.7,24.2,0.0,0.0,0.0
A,506,99.6,81.8,90.0,74.0,37.0,91.0,67.0,41.0,78.6,22.7,0.0,0.0,0.0
A,1126,97.4,98.7,85.0,66.0,35.0,86.0,61.0,32.0,80.6,48.3,0.0,0.0,0.0
A,530,97.5,100.0,89.0,68.0,37.0,93.0,73.0,36.0,82.8,41.7,0.0,0.0,0.0
A,307,94.9,100.0,91.0,62.0,32.0,90.0,64.0,42.0,50.0,8.3,0.0,0.0,0.0
B,397,96.6,83.3,71.0,43.0,11.0,68.0,38.0,15.0,-1.0,25.0,0.0,0.0,0.0
A,1569,94.5,97.1,82.0,62.0,30.0,80.0,50.0,27.0,32.7,34.4,0.0,0.0,0.0
B,1740,91.9,91.4,68.0,38.0,14.0,60.0,22.0,9.0,16.3,35.7,0.0,0.0,0.0
B,3374,93.8,97.1,73.0,49.0,21.0,71.0,39.0,16.0,62.4,31.1,0.0,0.0,0.0
C,1676,90.2,93.2,65.0,40.0,15.0,52.0,21.0,7.0,74.3,8.0,0.0,0.0,0.0
C,2191,95.5,99.4,76.0,50.0,21.0,68.0,35.0,14.0,26.8,47.9,0.0,0.0,0.0
B,2814,94.4,96.3,73.0,48.0,20.0,74.0,40.0,16.0,40.9,38.9,0.0,0.0,0.0
B,766,96.0,98.0,79.0,55.0,21.0,82.0,52.0,24.0,38.0,21.1,0.0,0.0,0.0
A,1347,94.2,100.0,70.0,43.0,17.0,62.0,34.0,16.0,100.0,20.7,0.0,0.0,0.0
C,265,95.7,96.2,79.0,53.0,24.0,72.0,39.0,11.0,41.7,40.0,0.0,0.0,0.0
Not Rated: Senate Bill 1365,2301,95.2,81.2,70.0,45.0,19.0,61.0,28.0,11.0,30.5,42.5,0.0,0.0,0.0
C,11947,92.0,95.9,60.0,37.0,14.0,59.0,29.0,10.0,64.8,20.6,0.0,0.0,0.0
C,4985,92.0,89.6,59.0,35.0,12.0,55.0,20.0,7.0,92.7,11.7,0.0,0.0,0.0
B,1780,92.9,92.1,74.0,51.0,21.0,71.0,37.0,15.0,23.0,31.0,0.0,0.0,0.0
B,319,97.6,92.3,71.0,41.0,20.0,60.0,30.0,11.0,83.3,10.0,0.0,0.0,0.0
A,618,95.7,95.5,88.0,65.0,29.0,92.0,66.0,37.0,87.8,36.1,0.0,0.0,0.0
B,401,96.7,,80.0,52.0,29.0,69.0,26.0,7.0,,,0.0,0.0,0.0
B,2996,87.1,86.8,74.0,47.0,19.0,65.0,27.0,9.0,32.7,20.3,0.0,0.0,0.0
B,498,96.8,,78.0,57.0,30.0,64.0,38.0,14.0,,,0.0,0.0,0.0
B,377,96.2,100.0,77.0,48.0,22.0,75.0,43.0,16.0,16.7,-1.0,0.0,0.0,0.0
A,785,93.8,94.8,86.0,59.0,26.0,78.0,47.0,15.0,38.2,19.0,0.0,0.0,0.0
C,1590,68.3,19.5,31.0,12.0,1.0,29.0,3.0,1.0,0.7,-1.0,0.0,0.0,0.0
B,836,96.2,90.9,75.0,52.0,23.0,58.0,28.0,10.0,10.0,-1.0,0.0,0.0,0.0
A,1900,97.9,91.8,94.0,78.0,43.0,88.0,56.0,26.0,82.6,57.7,0.0,0.0,0.0
B,1749,93.4,95.5,81.0,59.0,29.0,78.0,44.0,19.0,32.5,40.5,0.0,0.0,0.0
B,394,95.2,100.0,66.0,35.0,10.0,51.0,16.0,3.0,100.0,8.3,0.0,0.0,0.0
B,13298,94.7,97.4,77.0,55.0,25.0,71.0,39.0,17.0,88.3,32.6,0.0,0.0,0.0
A,656,96.0,98.0,85.0,62.0,28.0,90.0,62.0,29.0,68.6,42.9,0.0,0.0,0.0
C,43839,91.8,88.6,72.0,47.0,19.0,66.0,33.0,13.0,62.3,30.0,0.0,0.0,0.0
B,893,95.9,96.9,80.0,55.0,25.0,76.0,38.0,16.0,40.3,32.0,0.0,0.0,0.0
B,2233,95.6,98.8,81.0,58.0,28.0,78.0,46.0,22.0,55.9,64.4,0.0,0.0,0.0
C,8395,92.9,92.8,65.0,39.0,18.0,66.0,34.0,15.0,57.2,19.7,0.0,0.0,0.0
A,1636,96.0,99.1,80.0,53.0,23.0,81.0,52.0,23.0,67.0,28.8,0.0,0.0,0.0
B,124,79.2,64.7,51.0,29.0,4.0,65.0,18.0,9.0,0.0,,0.0,0.0,0.0
B,776,92.8,100.0,50.0,28.0,13.0,43.0,17.0,5.0,85.2,0.0,0.0,0.0,0.0
A,149,93.8,100.0,89.0,79.0,12.0,83.0,38.0,19.0,20.0,25.0,0.0,0.0,0.0
C,353,90.0,100.0,54.0,30.0,8.0,43.0,10.0,3.0,14.3,-1.0,0.0,0.0,0.0
B,794,90.2,81.5,59.0,34.0,14.0,46.0,16.0,6.0,40.8,19.4,0.0,0.0,0.0
B,636,92.5,88.0,75.0,49.0,22.0,54.0,18.0,7.0,74.4,12.5,0.0,0.0,0.0
Not Rated: Senate Bill 1365,261,94.7,,47.0,20.0,9.0,34.0,13.0,4.0,,,0.0,0.0,0.0
Not Rated: Senate Bill 1365,93,64.2,30.2,46.0,22.0,0.0,44.0,19.0,4.0,0.0,,0.0,0.0,0.0
